name,length,vocabulary,volume,difficulty,effort,level,bugs,time,intelligentContent,number_operators,number_operands,number_operators_unique,number_operands_unique,ccn,ccnMethodMax,kanDefect,mi,mIwoC,commentWeight,externals,parents,lcom,relativeStructuralComplexity,relativeDataComplexity,relativeSystemComplexity,totalStructuralComplexity,totalDataComplexity,totalSystemComplexity,cloc,loc,lloc,methods,nbMethodsIncludingGettersSetters,nbMethods,nbMethodsPrivate,nbMethodsPublic,nbMethodsGetter,nbMethodsSetters,afferentCoupling,efferentCoupling,instability,depthOfInheritanceTree,pageRank
"Shrikeh\Cqrs\Handler\QueryHandler",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,N/A,0.01
"Shrikeh\Cqrs\Handler\Exception\HandlerException",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,2,1,0.33,N/A,0.05
"Shrikeh\Cqrs\Handler\CommandHandler",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,N/A,0.01
"Shrikeh\Cqrs\Handler\CommandHandler\Exception\CommandHandlerException",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,N/A,0.01
"Shrikeh\Cqrs\Handler\CommandHandler\Attribute\AsCommandHandler",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.15,209.99,171,38.99,N/A,N/A,1,1,0,1,1,0,1,4,12,8,N/A,1,1,0,1,0,0,0,1,1,N/A,0.01
"Shrikeh\Cqrs\Handler\QueryHandler\Exception\QueryHandlerException",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,N/A,0.01
"Shrikeh\Cqrs\Handler\QueryHandler\Attribute\AsQueryHandler",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.15,209.99,171,38.99,N/A,N/A,1,1,0,1,1,0,1,4,12,8,N/A,1,1,0,1,0,0,0,1,1,N/A,0.01
"Shrikeh\Cqrs\Handler\Attribute\AsHandler",1,1,0,0,0,2,0,0,0,0,1,0,1,1,1,0.15,211.21,171,40.21,N/A,N/A,1,0,1,1,0,1,1,4,11,7,N/A,1,1,1,0,0,0,2,1,0.33,N/A,0.05
"Shrikeh\Cqrs\Exception\CqrsException",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,3,1,0.25,N/A,0.28
"Shrikeh\Cqrs\Bus\QueryBus\Exception\QueryBusException",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,N/A,0.01
